loss,elapsed_budget,elapsed_time,error,pseudotime,num_objectives,info/sub-optim,seed,symmetry,n_iterations,function_class,parametrization,dimension,budget,num_workers,batch_mode,optimizer_name
-624.0728734264243,200,2181.7330617904663,,4.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,200,60,True,CMA
-624.0728734264243,50,1054.1149315834045,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,50,30,True,CMandAS2
-624.0728734264243,100,2751.889642238617,,2.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,100,60,True,CMA
-624.0728734264243,200,2309.49280333519,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,200,60,True,DE
-624.0728734264243,50,1065.1412942409515,,2.0,1,CMAbounded,-1,0,1,Irrigation,irrigation8,8,50,30,True,CMA
-624.0728734264243,100,2743.4219217300415,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,100,60,True,DE
-624.0728734264243,200,2488.83061504364,,4.0,1,,-1,0,1,Irrigation,irrigation8,8,200,60,True,MetaModel
-624.0728734264243,50,1044.775375366211,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,50,30,True,DE
-624.0728734264243,100,2703.4449717998505,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,100,60,True,MetaModel
-624.0728734264243,50,504.7119085788727,,2.0,1,,-1,0,1,Irrigation,irrigation8,8,50,30,True,MetaModel
-624.0728734264243,200,5518.880398035049,,200.0,1,Cobyla,-1,0,1,Irrigation,irrigation8,8,200,1,True,NGOpt10
-624.0728734264243,100,1698.026807308197,,100.0,1,Cobyla,-1,0,1,Irrigation,irrigation8,8,100,1,True,NGOpt10
-624.0728734264243,200,4564.94019818306,,200.0,1,,-1,0,1,Irrigation,irrigation8,8,200,1,True,CMandAS2
